timestamp,users_holding
"2020-06-08 12:40:08",0
"2020-06-08 13:40:08",0
"2020-06-08 14:40:11",9
"2020-06-08 15:40:08",19
"2020-06-08 16:40:08",22
"2020-06-08 17:40:09",23
"2020-06-08 18:40:10",31
"2020-06-08 19:40:10",33
"2020-06-08 20:40:08",36
"2020-06-08 21:40:09",36
"2020-06-08 22:40:08",37
"2020-06-08 23:40:09",37
"2020-06-09 00:40:11",37
"2020-06-09 01:40:10",37
"2020-06-09 02:40:10",37
"2020-06-09 03:40:11",37
"2020-06-09 04:40:14",37
"2020-06-09 05:40:10",37
"2020-06-09 06:40:09",37
"2020-06-09 07:40:09",37
"2020-06-09 08:40:10",37
