timestamp,users_holding
"2020-06-08 12:40:08",0
"2020-06-08 13:40:08",4
"2020-06-08 14:40:11",97
"2020-06-08 15:40:08",221
"2020-06-08 16:40:08",291
"2020-06-08 17:40:09",357
"2020-06-08 18:40:10",408
"2020-06-08 19:40:10",474
"2020-06-08 20:40:08",531
"2020-06-08 21:40:09",530
"2020-06-08 22:40:08",539
"2020-06-08 23:40:09",539
"2020-06-09 00:40:11",539
"2020-06-09 01:40:10",539
"2020-06-09 02:40:10",539
"2020-06-09 03:40:11",539
"2020-06-09 04:40:14",539
"2020-06-09 05:40:10",539
"2020-06-09 06:40:09",539
"2020-06-09 07:40:09",539
"2020-06-09 08:40:10",539
